Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,2.8,48.9,0.71,9.64,14.6,30.0,6.07,48.6,2.86,4.29,66.7,2.86,0.71,40.7,281.4,188.2,8.93,1.43,1.79,3.21,5.00,52.1,36.1,69.2,7.86,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-061,1989,4.2,44.0,2.62,3.81,22.9,17.6,5.71,43.1,0.48,1.19,40.0,0.71,0.00,17.9,64.3,30.5,0.71,0.24,0.24,2.86,1.43,56.2,31.0,55.1,7.86,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-213,1997,20.2,60.6,5.45,20.7,28.9,14.7,1.09,51.7,0.25,0.54,45.5,0.25,0.00,31.0,183.1,87.5,3.22,1.44,0.30,0.59,0.50,32.8,31.2,95.0,1.04,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1.0,34.0,31.0,34.0,0.00,0.00,0.00,24.0,0.00,0.00,,0.00,0.00,19.0,67.0,28.0,0.00,0.00,0.00,0.00,0.00,13.0,13.0,100.0,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-093,1995,16.1,64.7,2.86,20.6,29.0,17.8,1.68,56.5,0.50,1.24,40.0,0.50,0.00,35.8,146.4,76.8,4.10,0.99,0.06,1.12,0.56,43.7,38.4,87.9,2.48,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-005,1994,4.5,52.2,2.89,14.9,22.9,17.8,1.33,42.7,0.89,1.78,50.0,0.89,0.00,30.7,172.0,102.4,5.33,1.56,0.44,0.89,2.00,36.9,30.0,81.3,2.22,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-141,1993,19.2,44.2,0.78,5.10,19.0,22.7,3.59,41.7,1.72,3.18,54.1,1.82,0.00,30.7,186.7,90.7,5.00,1.35,0.99,3.23,2.14,49.4,31.1,63.0,7.81,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-022,1987,10.3,31.2,0.68,2.72,12.7,16.3,5.34,30.5,0.58,1.07,54.5,0.58,0.00,16.0,62.8,18.9,1.26,0.39,0.19,1.36,0.29,41.5,21.8,52.7,6.99,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-213,1996,12.5,81.1,4.48,22.3,50.1,16.7,1.04,78.6,1.68,2.08,80.8,1.68,0.32,57.4,399.8,230.8,9.44,2.64,0.16,0.88,1.28,61.2,58.6,95.8,1.84,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-047,1995,1.0,80.0,5.00,43.0,24.0,16.0,1.00,71.0,0.00,1.00,0.0,0.00,0.00,42.0,206.0,125.0,5.00,1.00,0.00,2.00,0.00,47.0,40.0,85.1,5.00,Matches
